date,state,daily_partial,daily_full,daily_booster,daily_booster2,daily,daily_partial_adol,daily_full_adol,daily_booster_adol,daily_booster2_adol,daily_partial_child,daily_full_child,daily_booster_child,daily_booster2_child,pfizer1,pfizer2,pfizer3,pfizer4,sinovac1,sinovac2,sinovac3,sinovac4,astra1,astra2,astra3,astra4,sinopharm1,sinopharm2,sinopharm3,sinopharm4,cansino,cansino3,cansino4
2022-08-26,Selangor,87,320,170,1068,1645,10,18,10,2,55,273,3,0,80,311,161,1050,7,9,9,18,0,0,0,0,0,0,0,0,0,0,0
2022-08-26,Terengganu,3,25,23,10,61,1,4,2,0,2,21,0,0,3,25,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-26,W.P. Kuala Lumpur,62,119,52,472,705,1,6,3,1,28,91,0,0,59,118,50,455,3,1,2,16,0,0,0,0,0,0,0,0,0,0,0
2022-08-26,W.P. Labuan,1,9,0,0,10,0,0,0,0,1,9,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-26,W.P. Putrajaya,3,14,13,182,212,0,1,0,0,3,13,0,0,3,14,13,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,Johor,33,87,69,162,351,3,5,1,0,24,79,0,0,32,85,66,161,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,Kedah,13,64,36,21,134,3,4,0,0,8,58,0,0,11,64,35,16,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,Kelantan,2,7,7,9,25,0,0,0,0,2,7,0,0,2,7,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,Melaka,18,27,19,42,106,0,0,1,0,17,25,0,0,18,25,17,37,0,1,2,5,0,0,0,0,0,1,0,0,0,0,0
2022-08-27,Negeri Sembilan,25,57,14,33,129,2,1,0,0,23,55,0,0,24,56,13,33,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,Pahang,4,24,25,29,82,0,1,0,0,4,23,0,0,4,24,23,29,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,Perak,29,38,21,27,115,1,3,2,0,27,33,5,0,28,36,20,26,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,Perlis,0,1,3,0,4,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,Pulau Pinang,24,33,25,51,133,0,3,0,0,24,25,0,0,19,30,22,49,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,Sabah,22,64,73,63,222,2,2,0,0,13,49,0,0,22,62,70,56,0,2,3,7,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,Sarawak,24,611,185,385,1205,0,0,40,2,22,101,28,0,19,608,182,380,5,3,3,5,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,Selangor,112,389,130,738,1369,4,18,9,1,94,340,0,0,104,371,127,713,8,18,3,25,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,Terengganu,5,4,13,1,23,0,1,0,0,1,3,0,0,5,4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,W.P. Kuala Lumpur,38,84,62,359,543,1,4,9,0,28,62,3,0,32,80,56,348,6,4,6,11,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,W.P. Labuan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,W.P. Putrajaya,0,19,1,3,23,0,1,0,0,0,18,0,0,0,19,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,Johor,51,139,188,140,518,5,7,2,0,36,97,0,0,47,136,185,138,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,Kedah,31,40,88,22,181,4,5,1,1,16,29,0,0,30,33,85,21,1,7,3,1,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,Kelantan,3,9,26,6,44,1,2,1,0,1,5,0,0,3,9,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,Melaka,2,18,5,33,58,0,0,1,0,2,15,0,0,2,17,5,32,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,Negeri Sembilan,0,7,3,61,71,0,1,0,0,0,5,0,0,0,7,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,Pahang,0,3,14,10,27,0,0,0,0,0,3,0,0,0,3,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,Perak,2,14,13,21,50,0,0,3,1,2,12,3,0,1,13,12,21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,Perlis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,Pulau Pinang,9,23,9,18,59,0,2,0,0,8,21,0,0,9,22,9,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,Sabah,9,30,21,19,79,1,3,1,0,8,22,0,0,8,29,15,17,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,Sarawak,1,65,15,32,113,0,0,2,0,0,65,0,0,1,60,10,25,0,5,5,7,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,Selangor,73,267,76,316,732,3,11,7,0,55,239,0,0,63,257,56,314,10,10,20,2,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,Terengganu,4,3,33,8,48,1,0,0,0,1,1,0,0,4,3,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,W.P. Kuala Lumpur,24,36,44,285,389,0,0,17,0,13,29,0,0,22,32,41,281,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,W.P. Labuan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,W.P. Putrajaya,0,8,1,2,11,0,0,0,0,0,8,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,Johor,53,41,93,153,340,5,8,0,0,45,22,0,0,50,37,93,148,3,2,0,5,0,0,0,0,0,2,0,0,0,0,0
2022-08-29,Kedah,3,23,63,32,121,0,2,1,0,2,16,0,0,3,23,62,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,Kelantan,17,18,56,13,104,1,1,0,0,10,15,0,0,17,18,56,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,Melaka,3,13,5,59,80,0,0,1,0,2,11,0,0,3,13,4,55,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0
2022-08-29,Negeri Sembilan,3,3,20,82,108,0,0,0,0,3,2,0,0,3,3,20,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,Pahang,4,19,13,23,59,0,1,0,0,0,10,0,0,4,19,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,Perak,5,8,66,157,236,0,0,2,0,2,5,0,0,5,7,62,157,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0
2022-08-29,Perlis,0,0,9,1,10,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,Pulau Pinang,2,5,61,65,133,1,1,0,0,0,1,0,0,1,3,60,63,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,Sabah,61,19,108,173,361,0,1,1,0,4,14,0,0,61,19,107,171,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,Sarawak,8,44,93,120,265,0,2,1,0,5,40,0,0,5,42,93,117,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,Selangor,33,40,170,613,856,2,10,0,0,14,16,0,0,25,32,160,601,7,8,10,12,0,0,0,0,1,0,0,0,0,0,0
2022-08-29,Terengganu,1,9,41,3,54,0,0,1,0,0,7,0,0,1,9,38,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,W.P. Kuala Lumpur,29,46,64,357,496,0,1,1,0,3,23,0,0,29,37,55,349,0,9,9,8,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,W.P. Labuan,2,7,3,2,14,0,0,0,0,2,7,0,0,2,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,W.P. Putrajaya,0,1,7,89,97,0,1,0,0,0,0,0,0,0,1,7,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,Johor,10,20,103,303,436,0,5,4,0,7,8,0,0,8,18,102,298,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,Kedah,2,31,56,47,136,1,3,2,0,0,25,0,0,2,31,54,47,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,Kelantan,7,16,53,14,90,1,1,2,0,0,10,0,0,7,16,53,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,Melaka,5,30,31,214,280,1,2,0,0,4,27,0,0,4,29,31,214,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-08-30,Negeri Sembilan,5,10,30,71,116,1,3,0,0,0,4,0,0,5,10,30,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,Pahang,4,7,28,97,136,1,2,0,0,1,1,0,0,4,7,28,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,Perak,2,6,61,130,199,0,1,3,0,0,4,0,0,1,6,61,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,Perlis,2,0,3,4,9,1,0,0,0,0,0,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,Pulau Pinang,4,4,66,89,163,0,0,0,0,0,1,0,0,3,2,65,89,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,Sabah,64,7,35,185,291,0,0,0,0,1,2,0,0,63,6,33,185,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,Sarawak,10,29,33,272,344,3,2,0,0,5,18,0,0,7,28,32,270,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,Selangor,22,58,166,734,980,2,10,3,1,5,22,0,0,15,46,148,718,7,12,18,16,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,Terengganu,1,22,22,38,83,1,1,1,0,0,18,0,0,1,21,21,38,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,W.P. Kuala Lumpur,13,18,61,444,536,0,0,1,0,1,2,0,0,13,15,55,438,0,3,6,6,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,W.P. Labuan,0,1,0,5,6,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,W.P. Putrajaya,0,0,6,117,123,0,0,0,0,0,0,0,0,0,0,6,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,Johor,8,16,46,88,158,0,0,0,0,7,11,0,0,8,16,45,86,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,Kedah,1,2,4,1,8,0,0,0,0,1,0,0,0,0,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,Kelantan,13,9,28,1,51,2,0,0,0,0,0,0,0,13,9,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,Melaka,1,2,2,4,9,0,0,0,0,1,2,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,Negeri Sembilan,0,0,2,6,8,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,Pahang,0,0,3,2,5,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,Perak,2,20,13,54,89,0,0,2,0,2,18,0,0,2,18,13,54,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,Perlis,0,2,2,1,5,0,0,0,0,0,2,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,Pulau Pinang,0,1,5,30,36,0,1,0,0,0,0,0,0,0,1,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,Sabah,2,7,8,28,45,0,0,1,0,1,7,0,0,1,7,7,26,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,Sarawak,7,6,9,36,58,0,1,0,0,7,3,0,0,6,4,8,33,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0
2022-08-31,Selangor,24,160,74,395,653,5,9,4,2,10,136,0,0,18,156,71,390,6,4,3,5,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,Terengganu,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,W.P. Kuala Lumpur,15,22,36,220,293,0,2,12,0,11,13,0,0,11,19,35,214,4,3,1,6,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,W.P. Labuan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,W.P. Putrajaya,0,0,2,13,15,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,Johor,56,63,94,333,546,11,7,4,0,41,49,0,0,56,61,91,328,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,Kedah,16,60,68,49,193,1,4,1,0,6,48,0,0,13,59,64,49,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,Kelantan,6,22,61,37,126,1,3,0,0,3,11,0,0,6,22,61,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,Melaka,4,5,30,66,105,0,2,0,0,0,2,0,0,4,5,27,66,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
2022-09-01,Negeri Sembilan,10,37,18,65,130,0,3,0,0,7,24,0,0,10,34,18,65,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-09-01,Pahang,2,3,14,17,36,0,0,0,0,0,3,0,0,2,3,14,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,Perak,15,37,115,136,303,4,4,3,0,9,28,0,0,15,35,114,134,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,Perlis,2,5,9,4,20,0,0,0,0,2,4,0,0,2,5,6,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,Pulau Pinang,17,42,39,66,164,0,1,1,0,15,36,0,0,16,41,34,66,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,Sabah,87,9,77,174,347,0,2,0,0,4,3,0,0,87,9,73,174,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,Sarawak,17,36,56,387,496,0,1,1,0,16,34,0,0,14,36,55,379,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,Selangor,38,42,194,483,757,3,2,5,1,13,12,0,0,20,28,176,472,18,14,18,11,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,Terengganu,1,19,26,21,67,1,0,0,0,0,18,2,0,1,19,25,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,W.P. Kuala Lumpur,18,52,96,371,537,2,1,2,0,4,10,0,0,15,50,90,362,3,2,4,9,0,0,0,0,0,0,2,0,0,0,0
2022-09-01,W.P. Labuan,0,0,2,4,6,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,W.P. Putrajaya,0,0,3,16,19,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-02,Johor,30,65,79,192,366,2,5,3,0,23,54,0,0,28,60,75,187,2,5,4,5,0,0,0,0,0,0,0,0,0,0,0
2022-09-02,Kedah,6,14,20,11,51,0,1,1,0,5,12,0,0,3,13,17,11,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-02,Kelantan,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-02,Melaka,11,32,41,147,231,0,0,1,0,10,31,0,0,11,32,41,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
