cluster,district,date_announced,category,cases_total
KLUSTER INDUSTRI APAS,TAWAU,2021-01-25,workplace,22
KLUSTER JALAN INDAH,JOHOR BAHRU,2021-01-25,workplace,12
KLUSTER TAMAN BAHAGIA,TEMERLOH,2021-01-25,community,21
KLUSTER KAMPUNG PAHI,KUALA KRAI,2021-01-25,highRisk,31
KLUSTER KAMPUNG TUALANG,"KUALA TERENGGANU, MARANG & KUALA NERUS",2021-01-25,education,48
KLUSTER KAMPUNG MUHIBBAH,KOTA TINGGI,2021-01-25,community,26
KLUSTER BUKIT PALAH,"MELAKA TENGAH, JASIN, ALOR GAJAH, SEREMBAN & JEMPOL",2021-01-25,highRisk,71
KLUSTER JALAN WAJA,KLANG,2021-01-25,workplace,41
KLUSTER JALAN KERINCHI,"LEMBAH PANTAI, KEPONG & TITIWANGSA",2021-01-25,workplace,17
KLUSTER SRI MUDA,KLANG,2021-01-25,workplace,39
KLUSTER JALAN FIRMA TIGA,JOHOR BAHRU & KULAI,2021-01-25,workplace,68
KLUSTER KAMPUNG BUKIT PUTERA,SETIU,2021-01-26,community,25
KLUSTER INTAN DELIMA,KUALA PILAH,2021-01-26,education,34
KLUSTER JALAN PADI MAHSURI,KULAI,2021-01-26,community,92
KLUSTER TEMBOK BUKIT BESI,"DUNGUN, KOTA BHARU, MACHANG",2021-01-26,detentionCentre,448
KLUSTER KELADI SAGA,KULIM & YAN,2021-01-26,religious,145
KLUSTER JALAN PLATINUM,JOHOR BAHRU,2021-01-26,workplace,38
KLUSTER JALAN COCHRANE,"TITIWANGSA, KEPONG, CHERAS, LEMBAH PANTAI, PETALING",2021-01-26,workplace,468
KLUSTER JALAN YAHYA,"TITIWANGSA, CHERAS & KEPONG",2021-01-27,education,484
KLUSTER JALAN MUTIARA,PETALING,2021-01-27,workplace,32
KLUSTER JALAN DANAU,TITIWANGSA,2021-01-27,workplace,26
KLUSTER JALAN MEDINI,JOHOR BAHRU,2021-01-27,workplace,17
KLUSTER TENGAH TIGA,KLUANG,2021-01-27,workplace,14
KLUSTER TAPAK BINA PERSIARAN TECOMA,TITIWANGSA & KEPONG,2021-01-27,workplace,160
KLUSTER BEDAYAN,SERIAN & SAMARAHAN,2021-01-27,community,17
KLUSTER PENGERANG UTARA,KOTA TINGGI,2021-01-27,workplace,31
KLUSTER JALAN SULAMAN,KOTA KINABALU,2021-01-27,workplace,27
KLUSTER PARIT LANJUT,MUAR,2021-01-27,workplace,586
KLUSTER JALAN SERI,KINTA & KUALA KANGSAR,2021-01-27,workplace,24
KLUSTER TAPAK BINA TANJUNG,"KUALA LANGAT, SEPANG, KLANG",2021-01-27,workplace,100
KLUSTER JALAN TRUS,KLUANG & JOHOR BAHRU,2021-01-27,workplace,19
KLUSTER JALAN PUDU,LEMBAH PANTAI & SEPANG,2021-01-27,education,17
KLUSTER INDUSTRI GRISEK,TANGKAK & MUAR,2021-01-27,workplace,160
KLUSTER PERSIARAN PERKILANGAN,"PETALING, KLANG, SEPANG, KUALA SELANGOR, KEPONG, LEMBAH PANTAI, CHERAS, TITIWANGSA, PUTRAJAYA",2021-01-27,workplace,1044
KLUSTER JALAN PENGKALAN,"KINTA, KAMPAR & KERIAN",2021-01-27,community,92
KLUSTER JALAN PAKAT,KUALA SELANGOR,2021-01-28,community,27
KLUSTER JALAN DEWANI SATU,JOHOR BAHRU,2021-01-28,workplace,16
KLUSTER JALAN SATRIA,JOHOR BAHRU,2021-01-28,workplace,38
KLUSTER JALAN KEJORA,"MELAKA TENGAH, ALOR GAJAH, JASIN & BANDAR BAHARU",2021-01-28,highRisk,36
KLUSTER TAMAN MAHKOTA IMPIAN,LABUAN,2021-01-28,education,60
KLUSTER KAMPUNG KEMANSUR,BENTONG,2021-01-28,community,14
KLUSTER INDAH RIANG,"KUCHING, SIMUNJAN, SAMARAHAN & SARATOK",2021-01-28,community,21
KLUSTER INDUSTRI PERAMU JAYA,PEKAN & KUANTAN,2021-01-28,workplace,28
KLUSTER JALAN FAIZAL,"PONTIAN, BATU PAHAT, JOHOR BAHRU",2021-01-28,workplace,640
KLUSTER INDUSTRI INDAH,KLANG ,2021-01-29,workplace,51
KLUSTER JALAN EMPAYAR,JOHOR BAHRU,2021-01-29,workplace,18
KLUSTER JALAN RUSA SCIENTEX,JOHOR BAHRU,2021-01-29,workplace,6
KLUSTER JALAN BISTARI DUA,JOHOR BAHRU,2021-01-29,workplace,17
KLUSTER JALAN KOTA BUROK,MUAR,2021-01-29,workplace,30
KLUSTER TABONG,BAU & SAMARAHAN,2021-01-29,community,35
KLUSTER JALAN SEPANGGAR,"KOTA KINABALU, PUTATAN & TUARAN",2021-01-29,workplace,38
KLUSTER PERSIARAN SUBANG,KLANG & PETALING,2021-01-29,workplace,168
KLUSTER JALAN BY PASS,SEGAMAT,2021-01-29,education,201
KLUSTER TAPAK BINA JALAN VISTA,"CHERAS, TITIWANGSA & HULU LANGAT",2021-01-29,workplace,291
KLUSTER TINANOM,RANAU,2021-01-29,community,62
KLUSTER TAPAK BINA JALAN KLANG,LEMBAH PANTAI,2021-01-29,workplace,62
KLUSTER JALAN LABUK,SANDAKAN,2021-01-30,education,17
KLUSTER JALAN KETENGAH,"KUANTAN, TEMERLOH, JERANTUT, MARAN, SEREMBAN & TANAH MERAH",2021-01-30,workplace,14
KLUSTER JALAN RIANG,JOHOR BAHRU,2021-01-30,workplace,13
KLUSTER BAYU TAMPOI,JOHOR BAHRU,2021-01-30,workplace,15
KLUSTER BUKIT BATU GRISEK,TANGKAK,2021-01-30,workplace,18
KLUSTER JALAN TROMPET,KLANG & PETALING,2021-01-30,workplace,86
KLUSTER LINGKARAN MALURI,CHERAS,2021-01-30,workplace,35
KLUSTER LASAH,KUALA KANGSAR,2021-01-30,community,46
KLUSTER KAMPUNG HALA,SABAK BERNAM & PETALING,2021-01-30,education,53
KLUSTER TANAH PUTIH,KUANTAN & PEKAN,2021-01-30,workplace,173
KLUSTER TAMAN AMALINA,RAUB & KUANTAN,2021-01-30,community,14
KLUSTER DESA TUN,CHERAS,2021-01-30,workplace,49
KLUSTER BINTANG UTAMA,KULAI,2021-01-30,workplace,38
KLUSTER JALAN LOMBONG,KOTA TINGGI,2021-01-30,workplace,117
KLUSTER TERSAT,"HULU TERENGGANU, KUALA TERENGGANU & MARANG",2021-01-30,community,69
KLUSTER JALAN SUASA,JOHOR BAHRU,2021-01-30,workplace,30
KLUSTER JALAN MEGA,JOHOR BAHRU & BATU PAHAT,2021-01-31,workplace,26
KLUSTER SRI PLENTONG,JOHOR BAHRU,2021-01-31,workplace,19
KLUSTER JALAN RAMI TIGA,MUAR,2021-01-31,workplace,47
KLUSTER PERSIARAN SABAK,PETALING,2021-01-31,workplace,52
KLUSTER JALAN KEWAJIPAN,PETALING,2021-01-31,workplace,204
KLUSTER JALAN TRONOH,PERAK TENGAH & MANJUNG,2021-01-31,community,62
KLUSTER BERCHAM RAYA,KINTA & KUALA KANGSAR,2021-01-31,highRisk,24
KLUSTER JALAN ITHNIN,JOHOR BAHRU & MELAKA TENGAH,2021-01-31,highRisk,78
KLUSTER TAPAK BINA JALAN CHULAN,LEMBAH PANTAI & HULU LANGAT,2021-01-31,workplace,250
KLUSTER JALAN MASJID TANAH,ALOR GAJAH & MELAKA TENGAH,2021-01-31,workplace,84
KLUSTER MADOR,MERADONG & SIBU,2021-02-01,community,8
KLUSTER BELUKAR,"MACHANG, KOTA BHARU & PASIR PUTEH",2021-02-01,community,33
KLUSTER BATU LAPAN,"TAMBUNAN, RANAU & KOTA BELUD",2021-02-01,highRisk,77
KLUSTER RENGGAM,"PETALING, SEPANG & KLANG",2021-02-01,workplace,89
KLUSTER JALAN BBN,SEREMBAN,2021-02-01,workplace,30
KLUSTER KOLAM PERMAI,"KUALA TERENGGANU, KEMAMAN, KUALA NERUS, PETALING & KUANTAN",2021-02-01,community,15
KLUSTER DEWANI,JOHOR BAHRU & ROMPIN,2021-02-01,workplace,44
KLUSTER HARUM,JOHOR BAHRU,2021-02-01,workplace,250
KLUSTER TAPAK BINA CASUARINA,PETALING & SEPANG,2021-02-01,workplace,164
KLUSTER JALAN RAGUM,KLANG & PETALING,2021-02-02,workplace,219
KLUSTER TAPAK BINA JALAN CHERAS,CHERAS,2021-02-02,workplace,336
KLUSTER INDUSTRI SERKAM,"JASIN,TANGKAK, REMBAU & MELAKA TENGAH",2021-02-02,workplace,1439
KLUSTER SEMARAK BERSIA,HULU PERAK,2021-02-02,community,82
KLUSTER TAMAN MUHIBBAH,TEMERLOH & KUANTAN,2021-02-02,workplace,17
KLUSTER PARIT JAMIL DARAT,MUAR,2021-02-02,workplace,65
KLUSTER BUKIT RAHMAN,"KUALA SELANGOR, PETALING, GOMBAK, KLANG",2021-02-02,workplace,233
KLUSTER JALAN DPB ENAM,JOHOR BAHRU,2021-02-03,workplace,47
KLUSTER TAMAN ALAM,PETALING,2021-02-03,workplace,55
KLUSTER SEMENTA 27,"PETALING, KLANG, KUALA SELANGOR, KUALA LANGAT",2021-02-03,workplace,36
KLUSTER PERSIARAN BAYAN INDAH,"BARAT DAYA, SEBERANG PERAI TENGAH, SEBERANG PERAI UTARA, TIMUR LAUT",2021-02-03,workplace,40
KLUSTER JALAN CYBER SATU,"KULAI, KOTA TINGGI",2021-02-03,workplace,19
KLUSTER JALAN MAWAR,HULU LANGAT,2021-02-03,workplace,13
KLUSTER JALAN BUKIT BLOSSOMS,SEREMBAN,2021-02-03,highRisk,33
KLUSTER BANJARAN GADING,KOTA KINABALU,2021-02-04,education,44
KLUSTER WAKAF CHAGAK,"KUALA NERUS, KUALA TERENGGANU",2021-02-04,education,11
KLUSTER JALAN PADANG,"TAMPIN, REMBAU, KUALA PILAH, JEMPOL, ALOR GAJAH",2021-02-04,workplace,21
KLUSTER KALINDUKAN,NABAWAN,2021-02-04,community,15
KLUSTER PEKAN BATU,HULU LANGAT,2021-02-04,highRisk,17
KLUSTER PERMATANG PASIR,"PORT DICKSON, GOMBAK",2021-02-04,community,27
KLUSTER JALAN BUKIT NANAS,"CHERAS, TITIWANGSA, KEPONG, LEMBAH PANTAI",2021-02-04,education,13
KLUSTER JALAN TAAT,JOHOR BAHRU,2021-02-04,workplace,39
KLUSTER INDUSTRI BUKIT ANGKAT,HULU LANGAT,2021-02-04,workplace,44
KLUSTER SIMPANG EMPAT,KUNAK,2021-02-04,workplace,19
KLUSTER PERSIARAN RAJA,KLANG,2021-02-05,workplace,13
KLUSTER SUNGAI SEBEMBAN,BINTULU,2021-02-05,community,21
KLUSTER JALAN SRI PUTRI 12,KULAI,2021-02-05,community,13
KLUSTER JALAN EMAS,MELAKA TENGAH,2021-02-05,community,10
KLUSTER KASAWARI SEMBILAN,KUALA LANGAT,2021-02-05,workplace,103
KLUSTER JALAN JUNJONG,"KULIM, KUALA MUDA",2021-02-05,education,112
KLUSTER SEBUJOK,"BETONG, SRI AMAN, LUBOK ANTU",2021-02-05,community,92
KLUSTER LIMAU KARANGAN,KULIM,2021-02-05,education,24
KLUSTER SAINS BAKAM,"MIRI, SUBIS",2021-02-05,education,28
KLUSTER KIARA JAYA,"KUALA MUDA, TITIWANGSA",2021-02-05,education,35
KLUSTER SUNGAI TENGAH,"BAU, KUCHING",2021-02-05,community,50
KLUSTER TAMAN FASA 2A,"MANJUNG, CHERAS",2021-02-06,community,33
KLUSTER DAH KAMPUNG LANCUK,"KOTA SETAR, KUALA MUDA, SIK",2021-02-06,community,58
KLUSTER JALAN SILC SATU,JOHOR BAHRU,2021-02-06,workplace,15
KLUSTER KELISA EMAS,"SEBERANG PERAI TENGAH, BARAT DAYA",2021-02-06,community,20
KLUSTER JALAN PARIT RAJA TENGAH,"MUAR,KOTA BHARU",2021-02-06,community,33
KLUSTER JALAN PINANG RIAM,MIRI ,2021-02-06,workplace,17
KLUSTER SUNGAI PENYARAI,"TATAU, BINTULU",2021-02-06,community,40
KLUSTER JALAN BERINGIN,"HULU SELANGOR, PETALING",2021-02-06,education,14
KLUSTER INDUSTRI BUKIT PANCHOR,"SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN, TIMUR LAUT, KERIAN",2021-02-06,workplace,179
KLUSTER PANTAI KEMAYANG,"BACHOK, KOTA BHARU",2021-02-06,workplace,68
KLUSTER JALAN BIOTEKNOLOGI SATU,JOHOR BAHRU,2021-02-06,workplace,33
KLUSTER INDUSTRI JEMAPOH,"KUALA PILAH, JEMPOL",2021-02-06,workplace,85
KLUSTER NANGA MERUAN,"SELANGAU, SIBU, KANOWIT",2021-02-06,community,43
KLUSTER JALAN JEE CATTLEYA,MIRI,2021-02-06,workplace,29
KLUSTER JALAN YAACOB LATIF 2,CHERAS,2021-02-06,education,21
KLUSTER TEKNOLOGI ENAM,"TANGKAK, JASIN",2021-02-06,workplace,35
KLUSTER JALAN WAJA LIMA BELAS,"KUALA LANGAT, PETALING",2021-02-06,workplace,52
KLUSTER JALAN BALAM,"KEPONG, TITIWANGSA, CHERAS",2021-02-06,workplace,14
KLUSTER JALAN MUTIARA GALLA,"SEREMBAN, PORT DICKSON, REMBAU",2021-02-06,religious,39
KLUSTER KAMPUNG ALAI,HULU PERAK,2021-02-06,community,30
KLUSTER DTI KEMAYAN,"BERA , RAUB",2021-02-06,detentionCentre,207
KLUSTER JALAN TAMBUN,"KINTA, HULU PERAK",2021-02-06,workplace,66
KLUSTER SUNGAI GAMONG,MERADONG,2021-02-07,community,13
KLUSTER KAMPUNG SUNGAI HILIR PERUPOK,"BACHOK, PASIR PUTEH",2021-02-07,community,9
KLUSTER JALAN ORKID,HULU SELANGOR,2021-02-07,highRisk,23
KLUSTER PERSIARAN MARDI,"SEPANG, HULU LANGAT, HULU SELANGOR, KLANG, KUALA SELANGOR, KUALA LANGAT, PETALING, GOMBAK, PUTRAJAYA",2021-02-07,highRisk,137
KLUSTER DAMAI 16,JOHOR BAHRU,2021-02-07,workplace,17
KLUSTER KOMPLEKS FASA DUA,"MUAR, SEGAMAT",2021-02-07,community,54
KLUSTER PERSIARAN SOGA,"BATU PAHAT, KLUANG, SEGAMAT",2021-02-07,highRisk,126
KLUSTER TANJUNG PITAS,"PITAS, KOTA MARUDU",2021-02-07,community,281
KLUSTER JALAN BY PASS BATU ANAM,SEGAMAT,2021-02-07,workplace,97
KLUSTER KELULI INDUSTRI TIGA,JOHOR BAHRU,2021-02-07,workplace,35
KLUSTER KAMPUNG PAHI KUALA KRAI,"KUALA KRAI, MACHANG",2021-02-07,community,58
KLUSTER KILOMETER 85 MUKAH,MUKAH,2021-02-07,workplace,122
KLUSTER JALAN BESAR TERAS JERNANG,"SEPANG, HULU LANGAT",2021-02-07,workplace,64
KLUSTER TAPAK BINA PERSIARAN INSTITUSI,"SEPANG, KLANG, PUTRAJAYA",2021-02-07,workplace,353
KLUSTER PERDAGANGAN HARMONI SATU,SEPANG,2021-02-07,workplace,21
KLUSTER TINGKAT PERUSAHAAN 4A,SEBERANG PERAI TENGAH,2021-02-07,workplace,18
KLUSTER JALAN MASJID INDIA,"LEMBAH PANTAI, CHERAS, KEPONG, TITIWANGSA",2021-02-07,workplace,17
KLUSTER JALAN PUSAT BANDAR,KEPONG,2021-02-08,workplace,19
KLUSTER JALAN BESTARI EMPAT,JOHOR BAHRU,2021-02-08,workplace,45
KLUSTER JALAN PEKAN BARU,KLANG,2021-02-08,highRisk,28
KLUSTER CABANG EMPAT CHETOK 2,PASIR MAS,2021-02-08,community,25
KLUSTER ARING GUA MUSANG,GUA MUSANG,2021-02-08,community,33
KLUSTER DAH KAMPUNG TOK,KOTA SETAR,2021-02-08,community,53
KLUSTER KAMPUNG BELUKAR KADOK,KOTA BHARU,2021-02-08,religious,15
KLUSTER KAMPUNG BUKIT CINA KOK LANAS,"KOTA BHARU, MACHANG",2021-02-08,community,30
KLUSTER TAPAK BINA BATU LIMA 2,LEMBAH PANTAI,2021-02-08,workplace,183
KLUSTER JALAN TEMENGGONG AHMAD,MUAR,2021-02-08,highRisk,24
KLUSTER CABANG TIGA LEMAL,PASIR MAS,2021-02-08,workplace,18
KLUSTER KERTEH TIGA,DUNGUN,2021-02-08,community,82
KLUSTER KAMPUNG ESSO INTAN,HILIR PERAK,2021-02-08,community,38
KLUSTER SUNGAI ENGGANG,ROMPIN,2021-02-08,workplace,27
KLUSTER INDUSTRI LAGENDA PUTRA LAPAN,KULAI,2021-02-08,workplace,75
KLUSTER KAMPUNG DALAM RHU TUMPAT,"TUMPAT, KOTA BHARU, BACHOK",2021-02-08,education,81
KLUSTER JALAN HOSPITAL BANDAR KOTA BHARU,"KOTA BHARU, PASIR MAS, PASIR PUTEH, BACHOK, TUMPAT, MACHANG",2021-02-08,highRisk,29
KLUSTER KAMPUNG DEWAN KECIL,MACHANG,2021-02-08,community,23
KLUSTER JALAN INDUSTRI LAPAN EMAS,PONTIAN ,2021-02-08,workplace,160
KLUSTER KAMPUNG TANJUNG BALOK,KUANTAN,2021-02-08,workplace,35
KLUSTER ZON DAGANG BEBAS PERAI,"SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN, SEBERANG PERAI UTARA, BARAT DAYA, TIMUR LAUT",2021-02-08,workplace,118
KLUSTER INDUSTRI PERAI DUA,"SEBERANG PERAI TENGAH, SEBERANG PERAI UTARA, SEBERANG PERAI SELATAN, KERIAN",2021-02-08,workplace,67
KLUSTER PALOH GUA MUSANG,GUA MUSANG,2021-02-08,community,36
KLUSTER TEMBELING TENGAH,JERANTUT,2021-02-08,community,213
KLUSTER SIBULU,TENOM,2021-02-08,workplace,325
KLUSTER BATU 10 SKUDAI,"JOHOR BAHRU, KULAI",2021-02-08,workplace,25
KLUSTER LINTANG BATU LANCHANG,"BARAT DAYA, TIMUR LAUT",2021-02-08,workplace,54
KLUSTER KAMPUNG KUBANG TELAGA,BACHOK,2021-02-08,community,43
KLUSTER KAMPUNG RAYA SAGIL,TANGKAK ,2021-02-08,community,21
KLUSTER JALAN BINTULU-BAKUN,BINTULU,2021-02-09,workplace,19
KLUSTER KAMPUNG BANGGOL KEMIAN HILIR,PASIR MAS,2021-02-09,community,9
KLUSTER JALAN SETERPA KAMPUNG PARIT,KOTA BHARU,2021-02-09,community,14
KLUSTER BAGAN PARIT BARU,SABAK BERNAM,2021-02-09,workplace,21
KLUSTER TAPAK BINA KOTA BAYUEMAS,"KLANG, PETALING",2021-02-09,workplace,83
KLUSTER JALAN KILANG PENDING,KUCHING,2021-02-09,workplace,70
KLUSTER JALAN 1/44 PADANG TEMBAK,KOTA BHARU,2021-02-09,workplace,14
KLUSTER KAMPUNG KUBANG PANJANG HULU,PASIR MAS,2021-02-09,community,9
KLUSTER TAPAK BINA DATIN HALIMAH,JOHOR BAHRU,2021-02-09,workplace,223
KLUSTER JALAN MARIAMAH LIMA,JOHOR BAHRU,2021-02-09,highRisk,43
KLUSTER JALAN SENTRAL 28,JOHOR BAHRU,2021-02-09,highRisk,11
KLUSTER INDUSTRI LORONG PERUSAHAAN 8C,SEBERANG PERAI TENGAH,2021-02-09,workplace,18
KLUSTER PERUSAHAAN VALDOR 12,SEBERANG PERAI SELATAN,2021-02-09,workplace,40
KLUSTER KAMPUNG BUKIT TANDAK,PASIR MAS,2021-02-09,community,14
KLUSTER JELAWAT LAPAN SEBERANG JAYA,SEBERANG PERAI TENGAH,2021-02-09,workplace,34
KLUSTER JALAN PINANG GELUGOR,"TIMUR LAUT, SEBERANG PERAI SELATAN",2021-02-09,highRisk,14
KLUSTER INDUSTRI TAMAN ALAM JAYA 2/5,"KUALA SELANGOR, PETALING",2021-02-09,workplace,19
KLUSTER TAMAN PERINDUSTRIAN BATU BERENDAM,"MELAKA TENGAH, JASIN, ALOR GAJAH",2021-02-09,workplace,61
KLUSTER JALAN USAHA JAYA DUA,"KUCHING, ASAJAYA",2021-02-09,workplace,98
KLUSTER MAXBI LIBAI,SUBIS ,2021-02-09,community,102
KLUSTER JALAN SEROJA SAUJANA UTAMA,KUALA SELANGOR,2021-02-09,highRisk,54
KLUSTER JALAN PAHLAWAN,"KOTA KINABALU, PENAMPANG",2021-02-09,education,106
KLUSTER JALAN JATI PENAWAR,KOTA TINGGI,2021-02-09,community,16
KLUSTER PERNIAGAAN JALAN KEMPAS LIMA,KOTA TINGGI,2021-02-09,workplace,25
KLUSTER KAMPUNG MERKANG,PASIR PUTEH,2021-02-09,community,30
KLUSTER KAMPUNG DANGAK,KUCHING,2021-02-09,community,28
KLUSTER INDUSTRI JALAN BATU BERENDAM,"MELAKA TENGAH, ALOR GAJAH",2021-02-09,workplace,66
KLUSTER KAMPUNG BARU LIPIS,LIPIS,2021-02-09,community,35
KLUSTER CYBER 14,KULAI,2021-02-09,workplace,106
KLUSTER INDUSTRI JALAN SEMEBA,KUCHING,2021-02-09,workplace,97
KLUSTER INDUSTRI JALAN LABOHAN DAGANG-NILAI,"HULU LANGAT, KUALA LANGAT, KLANG, SEPANG",2021-02-09,workplace,239
KLUSTER KAMPUNG KEBOR BESAR,"KUALA TERENGGANU, KUALA NERUS",2021-02-10,community,91
KLUSTER JALAN HAJI MOHD NOORDIN,KINTA,2021-02-10,highRisk,24
KLUSTER SEKAKAP MERSING,MERSING,2021-02-10,workplace,25
KLUSTER TAPAK BINA SRI AUSTIN,JOHOR BAHRU,2021-02-10,workplace,59
KLUSTER KAMPUNG PANJI,KOTA BHARU,2021-02-10,community,16
KLUSTER KAMPUNG TOPENG,PASIR MAS,2021-02-10,community,8
KLUSTER KM18 JALAN KUANTAN-PEKAN,KUANTAN,2021-02-10,highRisk,91
KLUSTER INDUSTRI RIMBA PONTIAN,PONTIAN,2021-02-10,workplace,148
KLUSTER SEPANGAH,LIMBANG,2021-02-10,community,35
KLUSTER JALAN TAMAN TITIWANGSA,GUA MUSANG,2021-02-10,workplace,14
KLUSTER CHENGAL LEMPONG,KUANTAN,2021-02-11,education,14
KLUSTER JALAN TUANKU DUA,LEMBAH PANTAI,2021-02-11,workplace,19
KLUSTER INDUSTRI JALAN KPB SEMBILAN,HULU LANGAT,2021-02-11,workplace,17
KLUSTER TRIANG BERA,"BERA, TEMERLOH",2021-02-11,workplace,56
KLUSTER PERMATANG SHAHBANDAR,MARAN,2021-02-11,community,27
KLUSTER JALAN IMP SATU,"SEPANG, PETALING",2021-02-12,workplace,13
KLUSTER TAPAK BINA UPTOWN JELAWAT,BACHOK,2021-02-12,workplace,27
KLUSTER PERSIARAN SRI SAUJANA DUA,KOTA TINGGI,2021-02-12,education,20
KLUSTER INDUSTRI JALAN KLANG BANTING,KUALA LANGAT,2021-02-12,workplace,25
KLUSTER INTAN DELIMA 2,KUALA PILAH,2021-02-12,education,46
KLUSTER BATU 20 SELEKOH,HILIR PERAK,2021-02-12,education,33
KLUSTER PERSIARAN SYNERGI UTAMA,KULAI & KOTA TINGGI,2021-02-13,workplace,228
KLUSTER BUKIT TENGAH,DUNGUN & KEMAMAN,2021-02-13,workplace,43
KLUSTER TAPAK BINA LORONG PEEL,CHERAS,2021-02-13,workplace,214
KLUSTER LEBUH KELULI,"KLANG, PETALING, PETALING & KUALA LANGAT",2021-02-13,workplace,169
KLUSTER PERSIARAN BUNGA TANJUNG,"SEREMBAN, KUALA PILAH & REMBAU",2021-02-13,workplace,101
KLUSTER JALAN TUN RAZAK,"TITIWANGSA, LEMBAH PANTAI, KEPONG, CHERAS, PETALING, HULU LANGAT",2021-02-13,highRisk,44
KLUSTER INDUSTRI SELESA,"PETALING, HULU LANGAT",2021-02-13,workplace,293
KLUSTER TAPAK BINA JALIL UTAMA,CHERAS,2021-02-13,workplace,214
KLUSTER JALAN LENGKOK SATU,JOHOR BAHRU,2021-02-13,workplace,64
KLUSTER JALAN I-PARK SATU,JOHOR BAHRU,2021-02-13,workplace,80
KLUSTER RIA JAYA,"KUALA MUDA, BALING & KULIM",2021-02-14,workplace,113
KLUSTER JALAN JELATEK,GOMBAK,2021-02-14,workplace,35
KLUSTER BATU 57,BATU PAHAT,2021-02-14,workplace,13
KLUSTER JALAN USAHA SATU,PONTIAN & JOHOR BAHRU,2021-02-14,workplace,72
KLUSTER JALAN BADAK,KINTA & KUALA KANGSAR,2021-02-14,religious,25
KLUSTER JALAN SEPULUH,PETALING & KUALA SELANGOR,2021-02-14,workplace,36
KLUSTER TAPAK BINA JALAN SETIA,PETALING,2021-02-14,workplace,68
KLUSTER PATIKANG ULU,KENINGAU,2021-02-14,community,81
KLUSTER JALAN ISTIMEWA CEMERLANG,JOHOR BAHRU & KOTA TINGGI,2021-02-14,workplace,119
KLUSTER JALAN TEBRAU KHAS,JOHOR BAHRU & KULAI,2021-02-14,workplace,65
KLUSTER JALAN PERSIARAN TEKNOLOGI KULAI,"JOHOR BAHRU, KULAI & KOTA TINGGI",2021-02-14,workplace,58
KLUSTER PENGKALAN TERAS,BESUT,2021-02-15,community,29
KLUSTER JALAN TROPICANA,PETALING,2021-02-15,workplace,25
KLUSTER JALAN BURSA,PETALING & KLANG,2021-02-15,workplace,47
KLUSTER JALAN TIGA BELAS,PETALING & KUALA SELANGOR,2021-02-15,workplace,62
KLUSTER GUNTONG DALAM,BESUT,2021-02-15,workplace,49
KLUSTER TAPAK BINA PERSIARAN MUTIARA,TIMUR LAUT & SEBERANG PERAI TENGAH,2021-02-15,workplace,27
KLUSTER JALAN JINJANG,KEPONG,2021-02-15,workplace,31
KLUSTER JALAN KEPONG,KUALA SELANGOR,2021-02-15,workplace,34
KLUSTER JALAN BARU,"SEBERANG PERAI TENGAH, SEBERANG PERAI UTARA, KULIM & KUALA MUDA",2021-02-15,workplace,81
KLUSTER TEMBOK TAPAH,BATANG PADANG,2021-02-15,detentionCentre,927
KLUSTER JALAN SENAI UTAMA,KULAI & JOHOR BAHRU,2021-02-15,workplace,147
KLUSTER TEKNOLOGI LOT ENAM,"MELAKA TENGAH, JASIN, ALOR GAJAH, TAMPIN",2021-02-15,workplace,329
KLUSTER JALAN CHERAS,HULU LANGAT,2021-02-15,highRisk,53
KLUSTER INDUSTRI CYBER,"KULAI, MELAKA TENGAH & JOHOR BAHRU",2021-02-16,workplace,164
KLUSTER PACKAGE PENGERANG,KOTA TINGGI,2021-02-16,workplace,10
KLUSTER JALAN DAY,KOTA SETAR & KUBANG PASU,2021-02-16,education,12
KLUSTER JALAN LAZUARDI,PETALING,2021-02-16,workplace,26
KLUSTER JALAN INDUSTRI DUA BELAS,PETALING,2021-02-16,workplace,48
KLUSTER JALAN PELEPAS EMPAT,JOHOR BAHRU,2021-02-16,workplace,93
KLUSTER WAWASAN KULAI,KULAI & KOTA TINGGI,2021-02-16,workplace,94
KLUSTER UNIVISTA,"SAMARAH, SERIAN & KUCHING",2021-02-16,community,61
KLUSTER KIDURONG DUA,BINTULU,2021-02-16,education,14
KLUSTER JALAN GERONGGANG,SIBU,2021-02-16,highRisk,43
KLUSTER TAPAK BINA JALAN SEGAMBUT,KEPONG,2021-02-16,workplace,353
KLUSTER KAMPUNG SUNGAI MAONG,KUCHING,2021-02-16,community,54
KLUSTER JALAN INDUSTRI TIGA,GOMBAK,2021-02-16,workplace,18
KLUSTER JALAN KAYU MANIS,"MANJUNG, LARUT, MATANG DAN SELAMA",2021-02-16,workplace,27
KLUSTER JENGKA TUJUH,MARAN & JERANTUT,2021-02-16,education,44
KLUSTER JALAN APAS EMPAT,TAWAU & KALABAKAN,2021-02-16,workplace,72
KLUSTER SIMPANG TIGA,"KOTA MARUDU, KOTA BELUD, PITAS, KUDAT",2021-02-16,workplace,115
KLUSTER GELONG,"KAPIT, BUKIT MABONG, SIBU",2021-02-16,community,296
KLUSTER RAWANG BESTARI,"GOMBAK, HULU SELANGOR",2021-02-16,workplace,128
